rl	V(a)*I(Rl)
1.420000000000000e+02	2.424698e+01
1.430000000000000e+02	2.421718e+01
1.440000000000000e+02	2.418705e+01
1.450000000000000e+02	2.415660e+01
1.460000000000000e+02	2.412585e+01
1.470000000000000e+02	2.409481e+01
1.480000000000000e+02	2.406348e+01
1.490000000000000e+02	2.403187e+01
1.500000000000000e+02	2.400000e+01
1.510000000000000e+02	2.396787e+01
1.520000000000000e+02	2.393550e+01
1.530000000000000e+02	2.390289e+01
1.540000000000000e+02	2.387005e+01
1.550000000000000e+02	2.383699e+01
1.560000000000000e+02	2.380371e+01
1.570000000000000e+02	2.377023e+01
1.580000000000000e+02	2.373655e+01
1.590000000000000e+02	2.370269e+01
1.600000000000000e+02	2.366864e+01
1.610000000000000e+02	2.363442e+01
1.620000000000000e+02	2.360002e+01
1.630000000000000e+02	2.356547e+01
1.640000000000000e+02	2.353076e+01
1.650000000000000e+02	2.349591e+01
1.660000000000000e+02	2.346091e+01
1.670000000000000e+02	2.342577e+01
1.680000000000000e+02	2.339051e+01
1.690000000000000e+02	2.335512e+01
1.700000000000000e+02	2.331962e+01
1.710000000000000e+02	2.328400e+01
1.720000000000000e+02	2.324827e+01
1.730000000000000e+02	2.321244e+01
1.740000000000000e+02	2.317651e+01
1.750000000000000e+02	2.314050e+01
1.760000000000000e+02	2.310439e+01
1.770000000000000e+02	2.306820e+01
1.780000000000000e+02	2.303194e+01
1.790000000000000e+02	2.299559e+01
1.800000000000000e+02	2.295918e+01
1.810000000000000e+02	2.292271e+01
1.820000000000000e+02	2.288617e+01
1.830000000000000e+02	2.284958e+01
1.840000000000000e+02	2.281293e+01
1.850000000000000e+02	2.277624e+01
1.860000000000000e+02	2.273950e+01
1.870000000000000e+02	2.270272e+01
1.880000000000000e+02	2.266589e+01
1.890000000000000e+02	2.262904e+01
1.900000000000000e+02	2.259215e+01
1.910000000000000e+02	2.255524e+01
1.920000000000000e+02	2.251830e+01
1.930000000000000e+02	2.248133e+01
1.940000000000000e+02	2.244435e+01
1.950000000000000e+02	2.240735e+01
1.960000000000000e+02	2.237034e+01
1.970000000000000e+02	2.233332e+01
1.980000000000000e+02	2.229629e+01
1.990000000000000e+02	2.225926e+01
2.000000000000000e+02	2.222222e+01
2.010000000000000e+02	2.218519e+01
2.020000000000000e+02	2.214815e+01
2.030000000000000e+02	2.211112e+01
2.040000000000000e+02	2.207410e+01
2.050000000000000e+02	2.203709e+01
2.060000000000000e+02	2.200009e+01
2.070000000000000e+02	2.196310e+01
2.080000000000000e+02	2.192613e+01
2.090000000000000e+02	2.188917e+01
2.100000000000000e+02	2.185224e+01
2.110000000000000e+02	2.181532e+01
2.120000000000000e+02	2.177844e+01
2.130000000000000e+02	2.174157e+01
2.140000000000000e+02	2.170473e+01
2.150000000000000e+02	2.166793e+01
2.160000000000000e+02	2.163115e+01
2.170000000000000e+02	2.159440e+01
2.180000000000000e+02	2.155769e+01
2.190000000000000e+02	2.152102e+01
2.200000000000000e+02	2.148438e+01
2.210000000000000e+02	2.144777e+01
2.220000000000000e+02	2.141121e+01
2.230000000000000e+02	2.137469e+01
2.240000000000000e+02	2.133821e+01
2.250000000000000e+02	2.130178e+01
2.260000000000000e+02	2.126539e+01
2.270000000000000e+02	2.122904e+01
2.280000000000000e+02	2.119274e+01
2.290000000000000e+02	2.115650e+01
2.300000000000000e+02	2.112029e+01
2.310000000000000e+02	2.108415e+01
2.320000000000000e+02	2.104805e+01
